,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week
0,0.106902935,0.66330534,-1.8935888,-0.12576608,-0.0739067,0.20699616
1,-1.2435409,0.5560363,0.6664816,-0.15088728,0.34193775,0.7165346
2,-0.93848634,0.19070749,0.8954962,-0.49108192,-0.07314275,0.024336059
3,2.0517387,-0.30577624,-0.016690226,-0.23957826,-0.37655526,-1.7266341
4,0.63971204,3.1843972,-1.2602884,-0.16628975,-0.23800795,-0.93726873
5,0.18866652,1.3757492,1.104987,-0.33521694,4.06459,-0.42628255
6,-0.8635805,-0.4693159,-0.6983601,-0.03404008,-0.05759287,-1.3091153
7,-0.4600325,-0.6595998,0.57660854,0.39407173,-0.11160227,0.88324785
8,1.4328529,-1.2226723,1.9671916,-0.02096153,0.54963773,-0.3869837
9,0.55014086,1.0732555,0.33063915,-0.17696252,-0.32778513,0.7123264
10,0.5875266,1.2405213,-1.4736905,-0.10095494,0.038405653,-0.22906595
11,-0.99617,-0.5599903,0.5642664,0.038884778,0.87747884,0.021983113
12,1.5460774,-1.0182085,-1.0733299,-0.21173419,-0.33935627,-0.5907443
13,-1.6138932,-0.38076088,-0.6162577,-0.3331002,-0.19772112,0.6053032
14,0.4379777,-1.2639782,0.9023465,0.49195543,-0.44388747,-0.7215575
15,0.49531782,-1.2464944,1.4112345,-0.44144696,-0.044169135,0.64238286
16,1.1146082,-2.2170959,-1.1520736,-0.38182077,0.2362818,0.54412293
17,0.1903627,-1.283035,0.96475345,-0.37036616,-0.2470607,1.2181554
18,1.6334008,-0.09726763,-0.016798232,-0.18849178,-0.059771594,0.13990465
19,-0.023722013,0.326405,-1.8474807,-0.34075993,0.047601312,-0.86011827
20,0.3887238,0.22461383,-0.2527004,-0.079917155,-0.24572763,0.00022228168
21,2.0419402,0.09292314,1.3136922,0.08543424,0.12491327,-1.3372362
22,-0.94373333,-0.92734,0.79720604,0.25874668,-0.0055955704,0.359382
23,0.4986933,-0.7258221,1.6168971,-0.22547483,14.130656,1.9373977
24,-0.8670275,-0.38966355,1.5572664,0.33363202,-0.24359898,-0.14797294
25,0.09366507,-0.9237961,0.048881326,-0.05139812,3.002679,-0.061889783
26,1.6978823,-0.028223524,-0.11005091,0.04308768,-0.4861055,1.7747151
27,0.60860705,-0.5222018,-0.3689165,-0.023383139,-0.24307643,0.08915672
28,0.3968857,-0.8586248,0.031313647,0.011096395,-0.44070745,-0.60818416
29,-0.72553647,-0.8242529,1.5142347,-0.17767149,-0.16314894,-0.15546618
30,-0.2277777,1.9733517,-0.24545489,-0.5068656,-0.2795833,-0.4168865
31,0.48604986,1.796525,0.28715622,-0.27805048,-0.16893959,-0.69592893
32,0.35796025,0.0025591212,1.4366817,-0.16908021,0.3794027,0.84482795
33,0.78495574,0.8991671,1.5022727,-0.22186658,15.300305,2.1264906
34,-0.32667994,0.03059252,0.13325556,-0.11977882,-0.34322235,-0.78403175
35,-0.32229194,2.6872396,0.07145334,-0.124253035,0.08464228,-0.4485784
36,-0.8125838,2.522695,0.034625325,-0.027542777,-0.46173477,0.05987876
37,-1.2538648,-0.8073375,0.7333658,-0.10366953,-0.085426465,-0.81246
38,-1.1283802,0.80561334,-1.6300141,-0.29744914,-0.2914506,-0.63625467
39,1.4557021,-0.5142881,-0.3820207,0.18307301,0.13872711,-0.32710606
40,-1.0276026,0.005867181,1.8940364,0.2952472,0.17303902,-0.4039631
41,0.019062607,-0.53751594,-0.38728216,0.10642515,-0.6409259,1.0567985
42,0.2361781,0.0037838633,0.7260106,0.5081886,-0.33962822,0.16532092
43,-1.5438004,0.6677518,-0.6840132,-0.071163684,-0.16069318,-1.6758292
44,0.9273713,1.4387629,1.4120685,-0.34152544,16.409252,1.8852887
45,0.3038977,-0.85058194,-0.5898697,-0.13603814,-0.019489517,-0.9372141
46,-2.2323763,-0.22481966,-0.5314643,-0.21658204,-0.381122,-3.3897402
47,1.8500291,1.7527499,-1.1024417,0.2416567,-0.17201282,-0.56365347
