,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
31504,32,386877,11,4650,0,40, Federal-gov, Never-married, Tech-support, Own-child, Black, Male, United-States,0,0
12449,35,205338,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
26496,26,206600,7,0,0,30, Private, Never-married, Other-service, Other-relative, White, Male, Mexico,0,0
1534,50,73493,10,0,0,40, Private, Divorced, Other-service, Not-in-family, White, Female, United-States,0,0
47657,35,323120,12,0,0,44, Private, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States,1,0
24078,28,76313,10,0,0,60, Private, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, United-States,0,0
36429,38,101387,9,0,0,43, Private, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0,0
17354,19,108147,10,0,0,15, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0,0
19867,32,156464,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
34130,45,215620,9,0,0,40, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0,0
18449,24,230475,9,0,0,44, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
5292,21,143604,10,0,0,8, Private, Never-married, Sales, Own-child, White, Female, United-States,0,0
1790,30,188569,5,0,0,40, Federal-gov, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,0,0
4398,24,137591,10,0,1762,40, Private, Never-married, Sales, Own-child, White, Male, United-States,0,0
6861,48,246392,12,0,0,40, Local-gov, Separated, Adm-clerical, Not-in-family, Black, Female, United-States,0,0
37304,64,260082,2,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Cuba,0,0
4832,53,29658,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1,0
42591,29,157313,11,0,0,40, Federal-gov, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0,0
9948,41,344329,9,0,0,10, Self-emp-not-inc, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0,0
7097,45,40666,11,0,0,60, Self-emp-not-inc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0,0
21207,26,202091,9,0,0,40, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0,0
15354,20,340217,9,0,0,40, Federal-gov, Never-married, Adm-clerical, Own-child, White, Female, United-States,0,0
25514,55,217802,10,0,0,25, Private, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States,0,0
43805,47,236999,2,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico,0,0
13231,22,189203,13,0,0,50, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0,0
