,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
21697,26,58371,9,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Male, United-States,0,0
18780,26,142506,13,0,0,35, Private, Never-married, Prof-specialty, Unmarried, Black, Female, United-States,0,0
5457,34,209808,10,0,0,40, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1,0
42030,47,101204,10,4064,0,40, Private, Married-civ-spouse, Tech-support, Husband, Black, Male, United-States,0,0
28313,28,204734,10,0,0,40, Private, Married-civ-spouse, Tech-support, Wife, White, Female, United-States,0,0
45031,33,40142,9,0,0,56, Local-gov, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,0,0
20472,28,44216,9,0,0,40, Private, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female, United-States,0,0
41795,18,191784,9,0,0,40, Private, Never-married, Protective-serv, Not-in-family, White, Male, Puerto-Rico,0,0
6406,33,67072,9,0,0,50, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1,0
38348,31,117719,9,0,0,40, Private, Married-civ-spouse, Other-service, Husband, White, Male, Portugal,0,0
27136,58,131991,13,0,0,72, Self-emp-not-inc, Never-married, Farming-fishing, Own-child, White, Male, United-States,0,0
31345,21,129232,10,0,0,40, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0,0
37494,23,273010,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
22139,39,178948,9,0,0,50, Self-emp-not-inc, Married-civ-spouse, Farming-fishing, Wife, White, Female, United-States,0,0
21182,24,187397,10,1151,0,40, Local-gov, Never-married, Protective-serv, Unmarried, Other, Male, United-States,0,0
3960,43,174575,10,0,0,45, Private, Divorced, Prof-specialty, Unmarried, White, Male, United-States,0,0
47698,33,234067,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,1,0
18488,37,179671,9,0,0,40, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0,0
36750,37,638116,13,0,0,32, Private, Never-married, Adm-clerical, Own-child, Black, Female, United-States,0,0
47329,35,170195,10,0,0,40, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1,0
3287,34,80249,10,0,0,72, Self-emp-inc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0,0
12621,62,197286,8,0,0,48, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, Germany,0,0
30875,31,174704,9,0,0,50, Private, Divorced, Sales, Unmarried, Black, Male, United-States,0,0
34397,30,215182,13,0,0,40, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0,0
41392,55,194436,5,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States,0,0
31264,28,110981,10,0,0,40, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0,0
34973,29,112776,9,0,0,45, Private, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0,0
41305,43,211518,9,0,0,40, Private, Divorced, Adm-clerical, Own-child, White, Female, United-States,0,0
38142,42,130760,10,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0,0
30802,33,25610,12,0,0,40, Private, Married-civ-spouse, Sales, Husband, Other, Male, Japan,1,0
25421,59,77884,11,0,0,40, Private, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, United-States,0,0
20369,40,182629,13,0,0,40, Self-emp-inc, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,0,0
20952,22,309348,10,0,0,15, State-gov, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
3692,46,271828,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1,0
43860,27,124614,9,0,0,40, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0,0
13658,34,231238,5,0,0,40, Private, Separated, Farming-fishing, Unmarried, Black, Male, United-States,0,0
13888,72,39110,7,0,0,8, Federal-gov, Divorced, Adm-clerical, Not-in-family, White, Female, Canada,0,0
47537,55,265579,10,2354,0,40, Private, Widowed, Exec-managerial, Not-in-family, White, Female, United-States,0,0
8394,41,83411,9,0,0,40, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1,0
26541,54,286342,14,0,0,32, Local-gov, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,1,0
30270,24,199883,10,0,0,60, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
18758,26,201930,9,0,0,50, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
10598,30,66278,9,0,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
33285,56,187355,10,0,0,40, Private, Divorced, Sales, Unmarried, White, Female, United-States,0,0
25299,40,199303,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
1138,27,138705,9,0,0,53, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
28361,19,45546,10,0,0,16, Self-emp-not-inc, Never-married, Sales, Own-child, White, Female, United-States,0,0
509,39,91996,9,0,0,40, Private, Divorced, Other-service, Unmarried, White, Female, United-States,0,0
22287,20,360457,10,0,0,30, Private, Never-married, Exec-managerial, Own-child, White, Female, United-States,0,0
35731,73,110102,9,0,1668,77, Self-emp-not-inc, Widowed, Farming-fishing, Not-in-family, White, Male, United-States,0,0
12243,55,188917,9,0,0,40, Private, Divorced, Handlers-cleaners, Not-in-family, White, Female, United-States,0,0
21977,24,239663,6,0,0,40, Private, Married-civ-spouse, Other-service, Husband, White, Male, Mexico,0,0
31988,25,117827,10,0,0,40, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0,0
4296,41,266510,9,0,0,40, Private, Never-married, Other-service, Own-child, White, Male, United-States,0,0
48744,45,159080,9,0,0,15, Private, Married-civ-spouse, Adm-clerical, Own-child, White, Female, United-States,0,0
29443,56,271795,7,0,0,49, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0,0
14073,54,257869,10,0,0,28, Private, Separated, Other-service, Not-in-family, White, Male, Columbia,0,0
45530,21,225724,10,0,0,20, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0,0
