,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
1651,36,136028,5,0,0,30, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
21737,21,102942,10,0,2001,40, Local-gov, Never-married, Other-service, Not-in-family, White, Female, United-States,0,0
31846,29,152461,13,0,0,42, Local-gov, Never-married, Tech-support, Not-in-family, White, Female, United-States,0,0
16915,30,44566,13,0,0,80, Local-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0,0
33484,34,263908,10,0,0,50, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0,0
3746,38,296125,9,0,0,30, Private, Separated, Priv-house-serv, Unmarried, Black, Female, United-States,0,0
7249,38,164050,10,0,0,40, Private, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States,1,0
39116,31,498267,9,0,0,40, Local-gov, Separated, Other-service, Own-child, Black, Male, United-States,0,0
46780,24,188274,12,0,0,40, Private, Never-married, Prof-specialty, Own-child, White, Male, United-States,0,0
8808,47,80282,13,3137,0,40, Local-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0,0
29232,24,200593,9,0,0,50, Private, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0,0
20296,20,249543,10,0,0,16, Private, Never-married, Protective-serv, Own-child, White, Female, United-States,0,0
27690,36,205359,9,0,0,25, Private, Married-spouse-absent, Other-service, Unmarried, White, Female, United-States,0,0
234,28,76714,15,0,0,55, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,1,0
34078,69,199829,13,0,1258,40, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
37102,52,285224,9,0,0,32, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
10259,45,170099,10,0,0,40, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0,0
26976,19,164585,9,0,0,40, Private, Never-married, Machine-op-inspct, Own-child, White, Female, United-States,0,0
44472,57,238017,9,0,0,54, Private, Widowed, Tech-support, Not-in-family, Black, Female, United-States,0,0
29302,40,74949,10,0,0,40, Local-gov, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,0,0
22433,46,180505,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States,0,0
15353,19,458558,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States,0,0
4933,31,111843,12,0,0,40, State-gov, Separated, Other-service, Unmarried, Black, Female, United-States,0,0
45583,69,98170,4,1086,0,20, Private, Widowed, Other-service, Not-in-family, White, Female, United-States,0,0
2298,41,129865,9,0,0,60, Self-emp-not-inc, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0,0
8652,44,138077,13,0,0,32, Private, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0,0
20948,52,189216,9,0,0,65, Self-emp-not-inc, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0,0
47815,23,362623,6,0,1573,30, Private, Married-civ-spouse, Other-service, Husband, White, Male, Mexico,0,0
21001,19,38619,7,0,0,10, Private, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0,0
38798,33,103651,9,0,0,60, Private, Divorced, Other-service, Not-in-family, White, Male, United-States,0,0
23157,72,259762,9,2290,0,10, Local-gov, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
43354,44,157765,9,0,0,40, Private, Divorced, Machine-op-inspct, Not-in-family, White, Female, United-States,0,0
11553,30,234824,9,0,0,72, State-gov, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0,0
6857,45,117310,13,0,0,46, Private, Divorced, Sales, Not-in-family, White, Female, United-States,0,0
20179,54,97778,4,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
39654,20,273147,9,0,0,40, Private, Never-married, Machine-op-inspct, Own-child, Black, Male, United-States,0,0
38707,53,146325,9,0,0,40, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, Yugoslavia,1,0
8203,20,124751,10,0,0,20, Private, Never-married, Priv-house-serv, Own-child, White, Female, United-States,0,0
17117,35,209609,9,0,0,60, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
3293,39,68781,9,0,0,40, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
33530,66,22502,4,0,0,40, Private, Divorced, Other-service, Other-relative, Asian-Pac-Islander, Female, Philippines,0,0
45067,27,152951,9,0,0,40, Private, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,0,0
25983,17,286960,7,0,0,40, Private, Never-married, Prof-specialty, Own-child, White, Male, United-States,0,0
37594,35,187022,9,0,0,40, Private, Divorced, Prof-specialty, Not-in-family, White, Male, United-States,0,0
104,29,103432,9,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0,0
18682,43,144218,8,0,0,60, Self-emp-not-inc, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
44979,39,181384,12,0,0,20, Private, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0,0
16952,22,229456,9,0,0,38, Private, Never-married, Adm-clerical, Own-child, Black, Female, United-States,0,0
8332,58,316849,10,0,0,40, Private, Divorced, Other-service, Not-in-family, White, Male, United-States,0,0
30049,56,187873,14,0,0,40, Federal-gov, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0,0
22207,55,277034,10,0,0,40, Private, Divorced, Protective-serv, Not-in-family, White, Male, United-States,0,0
9525,33,143582,9,0,0,48, Private, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female, China,0,0
42873,40,151504,9,0,0,50, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
31264,28,110981,10,0,0,40, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0,0
10526,23,502316,13,0,0,40, State-gov, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0,0
37833,31,180656,9,0,0,35, Federal-gov, Never-married, Adm-clerical, Own-child, White, Male, United-States,0,0
1745,42,182342,10,0,0,55, Private, Widowed, Exec-managerial, Not-in-family, White, Female, United-States,0,0
9196,46,153501,9,0,0,40, Private, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male, United-States,0,0
2274,48,119565,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
2235,43,160815,11,0,0,40, Private, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0,0
23654,34,127651,13,0,0,60, Self-emp-inc, Divorced, Farming-fishing, Not-in-family, White, Male, United-States,0,0
47941,32,162160,10,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
44480,50,69477,6,0,0,45, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0,0
24563,20,745817,10,0,0,15, Private, Never-married, Tech-support, Own-child, White, Female, United-States,0,0
17253,24,281403,9,0,0,98, Private, Never-married, Farming-fishing, Own-child, White, Male, United-States,0,0
7821,21,275421,10,0,0,40, Private, Never-married, Craft-repair, Own-child, White, Female, United-States,0,0
15098,63,196994,13,0,0,15, Self-emp-not-inc, Married-civ-spouse, Sales, Husband, White, Male, United-States,0,0
15929,32,119124,13,0,0,40, Private, Never-married, Prof-specialty, Own-child, White, Male, United-States,0,0
13428,25,231638,9,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0,0
23124,43,73883,13,0,0,45, Self-emp-not-inc, Divorced, Sales, Unmarried, White, Male, United-States,0,0
11693,51,167065,9,0,0,40, State-gov, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
32014,26,192022,13,0,0,40, Private, Never-married, Prof-specialty, Own-child, White, Female, United-States,0,0
34704,40,87771,9,0,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
32809,47,212944,9,0,0,70, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1,0
39472,31,141118,9,0,0,24, Private, Separated, Other-service, Unmarried, White, Female, United-States,0,0
