,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
40713,18,406491,10,0,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
34130,45,215620,9,0,0,40, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0,0
1225,29,236436,9,0,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
26628,22,180060,13,0,0,40, Private, Never-married, Exec-managerial, Unmarried, White, Male, United-States,0,0
46987,35,33943,10,0,0,40, Local-gov, Married-civ-spouse, Protective-serv, Husband, Other, Male, United-States,1,0
32980,52,168539,13,0,0,40, Self-emp-inc, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,0,0
34063,25,188767,12,0,0,45, Private, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,0,0
12581,40,329924,9,0,0,30, Private, Separated, Handlers-cleaners, Not-in-family, Black, Male, United-States,0,0
2985,23,161708,13,0,0,30, Private, Never-married, Other-service, Own-child, White, Female, United-States,0,0
21431,39,139703,9,0,0,28, Private, Married-spouse-absent, Sales, Unmarried, Black, Female, Jamaica,0,0
8269,62,159908,13,0,1258,38, Local-gov, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0,0
20125,62,252668,14,0,0,70, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0,0
27634,24,257621,13,0,0,20, State-gov, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0,0
33901,38,44780,13,0,0,8, Private, Married-civ-spouse, Sales, Wife, White, Female, United-States,1,0
13853,24,200295,10,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0,0
16124,51,194097,9,0,0,40, Private, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,0,0
17253,24,281403,9,0,0,98, Private, Never-married, Farming-fishing, Own-child, White, Male, United-States,0,0
2097,56,160829,9,0,0,46, Local-gov, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0,0
11531,45,255559,9,0,0,40, Local-gov, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
16383,45,197418,10,0,0,48, Private, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0,0
48413,34,412933,8,0,0,55, Private, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States,0,0
37132,51,350131,9,0,2339,40, Private, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0,0
36010,21,376393,9,0,0,25, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0,0
17530,38,220783,9,0,0,20, Private, Divorced, Other-service, Not-in-family, White, Female, United-States,0,0
19720,41,183105,9,0,0,44, Private, Separated, Machine-op-inspct, Unmarried, White, Female, Cuba,0,0
6765,28,38918,10,0,0,50, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, Germany,1,0
28225,39,249720,13,0,0,60, Private, Divorced, Exec-managerial, Unmarried, Black, Female, United-States,0,0
8904,38,307404,10,0,0,40, Federal-gov, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0,0
29715,28,315287,10,0,0,40, Private, Never-married, Prof-specialty, Not-in-family, Black, Male, United-States,0,0
15413,44,55395,9,0,0,40, State-gov, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0,0
24612,22,56582,9,0,0,50, Private, Never-married, Farming-fishing, Not-in-family, White, Male, United-States,0,0
35268,37,194820,9,0,0,42, Private, Separated, Craft-repair, Unmarried, White, Female, United-States,0,0
7169,54,94055,13,0,0,40, Private, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0,0
35425,40,67243,10,0,0,40, Private, Divorced, Tech-support, Not-in-family, White, Male, United-States,0,0
44968,21,54472,9,0,0,40, Private, Never-married, Other-service, Not-in-family, White, Female, United-States,0,0
16127,43,207685,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0,0
21042,27,192936,13,0,0,40, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0,0
1633,27,127796,3,0,0,35, Private, Never-married, Farming-fishing, Not-in-family, White, Male, Mexico,0,0
36750,37,638116,13,0,0,32, Private, Never-married, Adm-clerical, Own-child, Black, Female, United-States,0,0
22247,67,191800,13,6360,0,35, Local-gov, Divorced, Adm-clerical, Unmarried, Black, Female, United-States,0,0
13414,46,155659,13,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Germany,1,0
20619,26,118497,9,0,0,50, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
11181,47,318593,9,0,0,25, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0,0
1967,28,291374,9,0,0,40, Private, Never-married, Adm-clerical, Unmarried, Black, Female, United-States,0,0
11590,33,24504,9,0,0,50, Self-emp-not-inc, Separated, Craft-repair, Other-relative, White, Male, United-States,0,0
9656,41,74581,13,0,0,65, Local-gov, Divorced, Prof-specialty, Unmarried, White, Male, United-States,0,0
12289,40,48859,9,0,0,32, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
42070,23,142766,13,0,0,18, Private, Never-married, Tech-support, Not-in-family, White, Male, United-States,0,0
19808,32,207400,9,0,0,40, Private, Never-married, Machine-op-inspct, Unmarried, Black, Female, United-States,0,0
20925,17,60562,5,0,0,20, Private, Never-married, Other-service, Own-child, White, Female, United-States,0,0
34973,29,112776,9,0,0,45, Private, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0,0
4617,32,72338,11,0,0,40, Federal-gov, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Male, United-States,0,0
886,23,205865,13,0,0,28, Private, Never-married, Exec-managerial, Own-child, White, Male, United-States,0,0
16265,56,183169,14,0,0,40, Local-gov, Widowed, Prof-specialty, Not-in-family, White, Female, United-States,0,0
41059,32,296897,13,0,0,40, Private, Never-married, Prof-specialty, Own-child, Black, Female, United-States,0,0
38496,21,135267,12,0,0,36, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0,0
28634,41,176452,9,0,0,40, Private, Never-married, Other-service, Own-child, White, Male, Peru,0,0
2622,42,245626,9,0,0,60, Private, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, United-States,0,0
38658,65,147377,14,0,0,16, Self-emp-not-inc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0,0
35284,63,60459,10,0,0,37, Private, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0,0
19554,30,323069,13,0,0,40, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0,0
46041,31,364657,10,0,0,45, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1,0
38618,49,330535,16,0,0,40, Private, Divorced, Exec-managerial, Unmarried, White, Male, United-States,1,0
14339,43,101709,10,0,0,40, Federal-gov, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male, United-States,0,0
14200,24,283896,9,0,0,40, Private, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,0,0
17522,26,292303,9,0,0,40, Private, Never-married, Handlers-cleaners, Own-child, White, Female, United-States,0,0
16280,27,187981,9,0,0,40, Private, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0,0
28829,68,174695,10,0,0,25, Without-pay, Married-spouse-absent, Farming-fishing, Unmarried, White, Female, United-States,0,0
714,36,382635,13,0,0,35, Local-gov, Divorced, Adm-clerical, Unmarried, White, Female, Honduras,0,0
44964,22,376393,9,0,0,30, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0,0
46603,40,226027,9,0,0,20, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0,0
41493,41,193494,9,0,0,44, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
5459,36,154669,13,0,0,55, Private, Never-married, Exec-managerial, Own-child, White, Male, United-States,0,0
34349,23,298623,9,0,0,40, Private, Never-married, Transport-moving, Own-child, Black, Male, United-States,0,0
